"Measure","variable","value"
"Fishing contribution to GDP - VAR Method","Unit","ST$"
"Fishing contribution to GDP - VAR Method","Unit","SI$"
"Fishing contribution to GDP - VAR Method","Unit","T$"
"Fishing contribution to GDP - VAR Method","Unit","VT"
"Fishing Employment","Dimension","Employed"
"Fishing Employment","Dimension_Value","Number of People Employed"
"Fishing Employment","Dimension_Value","Male"
"Fishing Employment","Dimension_Value","Female"
"Fishing Employment","Dimension_Value","Province des Iles Loyaute"
"Fishing Employment","Dimension_Value","Province Nord"
"Fishing Employment","Dimension_Value","Province Sud"
"Fishing Employment","Year","2010"
"Fishing Employment","Year","2011"
"Fishing Employment","Year","2012"
"Fishing Employment","Year","2013"
"Fishing Employment","Year","2014"
"Fishing Employment","Year","2015"
"Fishing Employment","Year","2016"
"Fishing Employment","Year","2017"
"Fishing Employment","Year","2018"
"Fishing Employment","Year","2019"
"Fishing Employment","Year","2021"
"Fishing Employment","Year","FY 2017"
"Fishing Employment","Year","FY 2018"
"Fishing Employment","Year","FY 2019"
"Fishing Employment","Year","FY 2020"
"Fishing Employment","Year","FY 2021"
"Fishing Employment","Unit","Headcount"
"Number of households engaged in fishing","Location","Rarotonga"
"Number of households engaged in fishing","Location","Southern Islands"
"Number of households engaged in fishing","Location","Northern Islands"
"Number of households engaged in fishing","Location","Cook Islands"
"Number of households engaged in fishing","Location","% participation"
"Number of households engaged in fishing","Fish_Activity","Fishing in lagoon"
"Number of households engaged in fishing","Fish_Activity","Fishing  outside reef"
"Number of households engaged in fishing","Fish_Activity","Fish both inside  and outside"
"Number of households engaged in fishing","Fish_Activity","Aquaculture"
"Number of households engaged in fishing","Fish_Activity","Pearl farming"
"Number of households engaged in fishing","Year","2021"
"Number of households engaged in fishing","Unit","Number"
"Number of households engaged in fishing","Unit","Proportion"
"Price Measures","Dimension","Landed Price"
"Price Measures","Dimension_Value","Price per pound"
"Price Measures","Dimension_Value","Price per kg"
"Price Measures","Dimension_Value","Reef fish"
"Price Measures","Dimension_Value","Tuna (to local people)"
"Price Measures","Dimension_Value","Tuna (to Chinese restaurants)"
